Name,Last Name,Alt,Alt,Topic,MOY,Overall,Cover #,Year,Year Cover #
Joseph G. Cannon,Cannon,,,Politics & Gov,N,1,1,1923,1
Warren G. Harding,Harding,,,Politics & Gov,N,2,2,1923,2
Hugo Stinnes,Stinnes,,,Politics & Gov,N,3,3,1923,3
Mustafa Kemal,Kemal,,,Politics & Gov,N,4,4,1923,4
Stephen Sanford,Sanford,,,Politics & Gov,N,5,5,1923,5
Joseph Conrad,Conrad,,,Author,N,6,6,1923,6
Winston Churchill,Churchill,,,Politics & Gov,N,7,7,1923,7
Samuel M. Vauclain,Vauclain,,,Politics & Gov,N,8,8,1923,8
King Faud I,Fuad I,King Faud I,,Royalty,N,9,9,1923,9
James M. Beck,Beck,,,Politics & Gov,N,10,10,1923,10
John Barton Payne,Payne,,,Science,N,11,11,1923,11
Rene Viviani,Viviani,,,Politics & Gov,N,12,12,1923,12
Franklin D. Roosevelt,Roosevelt,,,Politics & Gov,N,13,13,1923,13
John L. Lewis,Lewis,,,Business,N,14,14,1923,14
Herbert L. Pratt,Pratt,,,Business,N,15,15,1923,15
Burton K. Wheeler,Wheeler,,,Politics & Gov,N,16,16,1923,16
Edward M. House,House,,,Politics & Gov,N,17,17,1923,17
Andrew W. Mellon,Mellon,,,Business,N,18,18,1923,18
Mason M. Patrick,Patrick,,,Military,N,19,19,1923,19
James Couzens,Couzens,,,Politics & Gov,N,20,20,1923,20
Roy Asa Haynes,Haynes,,,Society,N,21,21,1923,21
Eleanora Duse,Duse,,,Theater,N,22,22,1923,22
Benito Mussolini,Mussolini,,,Military,N,23,23,1923,23
Samuel George Blythe,Blythe,,,Author,N,24,24,1923,24
F. E. Smith - 1st Earl of Birkenhead,Smith,Earl of Birkenhead,1st Earl of Birkenhead,Politics & Gov,N,25,25,1923,25
Frederick G. Banting,Banting,,,Science,N,26,26,1923,26
David Lloyd George,George,,,Politics & Gov,N,27,27,1923,27
Jack Dempsey,Dempsey,,,Sports,N,28,28,1923,28
Israel Zangwill,Zangwill,,,Author,N,29,29,1923,29
J.P. Morgan,Morgan,,,Business,N,30,30,1923,30
Samuel Gompers,Gompers,,,Business,N,31,31,1923,31
Herbert H. Asquith,Asquith,,,Politics & Gov,N,32,32,1923,32
Frank O. Lowden,Lowden,,,Politics & Gov,N,33,33,1923,33
John W. Weeks,Weeks,,,Politics & Gov,N,34,34,1923,34
Roy Chapman Andrews,Andrews,,,Science,N,35,35,1923,35
Giulio Gatti-Casazza,GattiCasazza,Casazza,,Theater,N,36,36,1923,36
Woodrow Wilson,Wilson,,,Politics & Gov,N,37,37,1923,37
Erich Ludendorff,Ludendorff,,,Military,N,38,38,1923,38
Hugh S. Gibson,Gibson,,,Politics & Gov,N,39,39,1923,39
Robert M. La Follette Sr,La Follette,,,Politics & Gov,N,40,40,1923,40
